id,playlist_id,playlist_name,artist_name,artistid,name,username,added_at,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres
2JiVNVjC8W02EZ9Nmp4rNP,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,No Sinner,https://open.spotify.com/artist/4tU4lol6tCmomJNksFxR5z,Leadfoot,,2021-02-18,False,245213,32,0.345,-4.245,137.089,0.00016,0.852,0.396,0.157,0.0499,"['canadian rock', 'vancouver indie']"
2JiVNVjC8W02EZ9Nmp4rNP,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,No Sinner,https://open.spotify.com/artist/4tU4lol6tCmomJNksFxR5z,Leadfoot,,2021-02-19,False,245213,32,0.345,-4.245,137.089,0.00016,0.852,0.396,0.157,0.0499,"['canadian rock', 'vancouver indie']"
51EhqjwJH9AmtnQhxVGv1F,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Goodbye June,https://open.spotify.com/artist/1l9I7G8J8AnMScWQwlNJ4M,Oh No,,2021-02-18,False,220533,0,0.259,-3.842,132.97,0.000477,0.978,0.266,0.268,0.22,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']"
51EhqjwJH9AmtnQhxVGv1F,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Goodbye June,https://open.spotify.com/artist/1l9I7G8J8AnMScWQwlNJ4M,Oh No,,2021-02-19,False,220533,0,0.259,-3.842,132.97,0.000477,0.978,0.266,0.268,0.22,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']"
30jQJuhVI8riaN1K3TEwFA,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Whitehorse,https://open.spotify.com/artist/3PSH5PsWfZQiD2wieKU0ss,My Babe,,2021-02-18,False,138311,0,0.621,-4.464,172.102,0.115,0.79,0.947,0.321,0.0884,"['canadian folk', 'canadian indie', 'hamilton on indie']"
30jQJuhVI8riaN1K3TEwFA,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Whitehorse,https://open.spotify.com/artist/3PSH5PsWfZQiD2wieKU0ss,My Babe,,2021-02-19,False,138311,0,0.621,-4.464,172.102,0.115,0.79,0.947,0.321,0.0884,"['canadian folk', 'canadian indie', 'hamilton on indie']"
1BQkVDlEOtYKOaotnJuNzz,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Jack Broadbent,https://open.spotify.com/artist/2yk5jg6yi5fV6xmUZoBPHU,On the Road Again,,2021-02-18,False,223124,47,0.4,-7.616,149.735,0.416,0.412,0.217,0.11,0.043,"['modern blues', 'modern blues rock']"
1BQkVDlEOtYKOaotnJuNzz,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Jack Broadbent,https://open.spotify.com/artist/2yk5jg6yi5fV6xmUZoBPHU,On the Road Again,,2021-02-19,False,223124,47,0.4,-7.616,149.735,0.416,0.412,0.217,0.11,0.043,"['modern blues', 'modern blues rock']"
1BQkVDlEOtYKOaotnJuNzz,spotify:playlist:6RzzvekKhU0W3q66dZosP8,low down groovin,Jack Broadbent,https://open.spotify.com/artist/2yk5jg6yi5fV6xmUZoBPHU,On the Road Again,El-Bahramino,2021-01-24,False,223124,47,0.4,-7.616,149.735,0.416,0.412,0.217,0.11,0.043,"['modern blues', 'modern blues rock']"
4njLEd40fsHHYdOOeO28ME,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Zac Brown Band,https://open.spotify.com/artist/6yJCxee7QumYr820xdIsjo,Heavy Is the Head,,2021-02-18,False,239760,0,0.508,-3.258,85.526,0.000369,0.923,0.689,0.0948,0.0392,"['contemporary country', 'country', 'country road', 'modern country rock']"
4njLEd40fsHHYdOOeO28ME,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Zac Brown Band,https://open.spotify.com/artist/6yJCxee7QumYr820xdIsjo,Heavy Is the Head,,2021-02-19,False,239760,0,0.508,-3.258,85.526,0.000369,0.923,0.689,0.0948,0.0392,"['contemporary country', 'country', 'country road', 'modern country rock']"
7ywUfT35DxrKOoq7ZL0VQ5,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Rose Cousins,https://open.spotify.com/artist/3DIk8KcmVKTr4uGw3AuCtJ,Chains,,2021-02-18,False,194570,41,0.381,-7.376,79.848,0.396,0.593,0.477,0.113,0.0382,"['canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'folk']"
7ywUfT35DxrKOoq7ZL0VQ5,spotify:playlist:37i9dQZF1DX58NJL8iVBGW,Southern Gothic,Rose Cousins,https://open.spotify.com/artist/3DIk8KcmVKTr4uGw3AuCtJ,Chains,,2021-01-27,False,194570,41,0.381,-7.376,79.848,0.396,0.593,0.477,0.113,0.0382,"['canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'folk']"
7ywUfT35DxrKOoq7ZL0VQ5,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Rose Cousins,https://open.spotify.com/artist/3DIk8KcmVKTr4uGw3AuCtJ,Chains,,2021-02-19,False,194570,41,0.381,-7.376,79.848,0.396,0.593,0.477,0.113,0.0382,"['canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'folk']"
4VIDVd87GQcBSbofvDp8Pj,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Jace Everett,https://open.spotify.com/artist/47DQBkDU2VieRG0aJUcPJs,Bad Things,,2021-02-18,False,164440,46,0.591,-4.706,131.006,0.0446,0.864,0.728,0.279,0.0399,['modern blues rock']
4VIDVd87GQcBSbofvDp8Pj,spotify:playlist:37i9dQZF1DX5AuRugisweW,Crossroad Blues,Jace Everett,https://open.spotify.com/artist/47DQBkDU2VieRG0aJUcPJs,Bad Things,,2020-11-13,False,164440,46,0.591,-4.706,131.006,0.0446,0.864,0.728,0.279,0.0399,['modern blues rock']
1WLsC1nDz2w78EpVRgLqWf,spotify:playlist:37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk,The Lowest Pair,https://open.spotify.com/artist/0q9jV5Ht9bBTX6pHgzRjRg,Too Late Babe,,2021-02-19,False,289161,47,0.373,-8.002,168.533,0.137,0.681,0.249,0.145,0.0385,"['banjo', 'deep new americana', 'new americana', 'olympia wa indie']"
1WLsC1nDz2w78EpVRgLqWf,spotify:playlist:37i9dQZF1DX3Fzl4v4w9Zp,The Pulse of Americana,The Lowest Pair,https://open.spotify.com/artist/0q9jV5Ht9bBTX6pHgzRjRg,Too Late Babe,,2021-02-19,False,289161,47,0.373,-8.002,168.533,0.137,0.681,0.249,0.145,0.0385,"['banjo', 'deep new americana', 'new americana', 'olympia wa indie']"
6CApje4OBrR9y2EQJlu8KJ,spotify:playlist:37i9dQZF1DX58NJL8iVBGW,Southern Gothic,Me And That Man,https://open.spotify.com/artist/3zhMQz4U8XeOPq1Nphrd6a,My Church Is Black,,2021-01-27,False,178080,36,0.39,-2.949,106.055,0.0283,0.817,0.323,0.114,0.0343,['gothic americana']
6CApje4OBrR9y2EQJlu8KJ,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Me And That Man,https://open.spotify.com/artist/3zhMQz4U8XeOPq1Nphrd6a,My Church Is Black,,2021-02-19,False,178080,36,0.39,-2.949,106.055,0.0283,0.817,0.323,0.114,0.0343,['gothic americana']
1p3ZBdx6XCXZEu7OoO0zW2,spotify:playlist:37i9dQZF1DX58NJL8iVBGW,Southern Gothic,Townes Van Zandt,https://open.spotify.com/artist/3ZWab2LEVkNKiBPIClTwof,Lungs,,2021-01-27,False,154186,0,0.542,-13.937,96.893,0.811,0.34,0.543,0.729,0.0434,"['alternative country', 'cosmic american', 'country rock', 'folk', 'folk rock']"
1p3ZBdx6XCXZEu7OoO0zW2,spotify:playlist:37i9dQZF1DWVmps5U8gHNv,Essential Folk,Townes Van Zandt,https://open.spotify.com/artist/3ZWab2LEVkNKiBPIClTwof,Lungs,,2020-10-07,False,154186,0,0.542,-13.937,96.893,0.811,0.34,0.543,0.729,0.0434,"['alternative country', 'cosmic american', 'country rock', 'folk', 'folk rock']"
0jnDzROKWT17pa61E71Imr,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Charley Crockett,https://open.spotify.com/artist/3BJX1nYizKvWpZTY5HOAr4,Lesson in Depression,,2021-02-19,False,173445,15,0.715,-9.858,114.516,0.523,0.45,0.945,0.078,0.0276,"['alternative country', 'deep new americana', 'new americana', 'roots americana']"
6jA2i54oeB8cq1c3YF2YQG,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Charley Crockett,https://open.spotify.com/artist/3BJX1nYizKvWpZTY5HOAr4,I Can Help,,2021-02-19,False,218225,52,0.81,-5.582,111.624,0.494,0.597,0.59,0.176,0.0372,"['alternative country', 'deep new americana', 'new americana', 'roots americana']"
0jnDzROKWT17pa61E71Imr,spotify:playlist:37i9dQZF1DX3Fzl4v4w9Zp,The Pulse of Americana,Charley Crockett,https://open.spotify.com/artist/3BJX1nYizKvWpZTY5HOAr4,Lesson in Depression,,2021-02-19,False,173445,15,0.715,-9.858,114.516,0.523,0.45,0.945,0.078,0.0276,"['alternative country', 'deep new americana', 'new americana', 'roots americana']"
6jA2i54oeB8cq1c3YF2YQG,spotify:playlist:37i9dQZF1DX3Fzl4v4w9Zp,The Pulse of Americana,Charley Crockett,https://open.spotify.com/artist/3BJX1nYizKvWpZTY5HOAr4,I Can Help,,2021-02-19,False,218225,52,0.81,-5.582,111.624,0.494,0.597,0.59,0.176,0.0372,"['alternative country', 'deep new americana', 'new americana', 'roots americana']"
25ygrPb0Vn9D3wcq0KO9eF,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,Ashley Monroe,https://open.spotify.com/artist/37BiX28I6pF104F92U1hDP,Drive,,2021-02-19,False,168780,14,0.548,-9.004,147.959,0.0347,0.591,0.521,0.0968,0.0525,"['contemporary country', 'country', 'country dawn', 'country pop', 'kentucky roots']"
