artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Chubby Checker,Let's Twist Again,,False,136666,0,0.605,-6.923,83.793,0.244,0.747,0.886,0.16,0.158,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",1961-01-01
The Marcels,Blue Moon,,False,138360,49,0.624,-11.132,127.69,0.656,0.432,0.935,0.0785,0.0344,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",1990-06-11
The Marcels,Blue Moon,,False,138360,49,0.624,-11.132,127.69,0.656,0.432,0.935,0.0785,0.0344,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",1990-06-11
Bob Seger,Ramblin' Gamblin' Man,,False,145310,62,0.601,-3.828,130.811,0.0232,0.84,0.896,0.0569,0.0509,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock']",1969-04-01
Bob Seger,Ramblin' Gamblin' Man,,False,145310,62,0.601,-3.828,130.811,0.0232,0.84,0.896,0.0569,0.0509,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock']",1969-04-01
Roy Orbison,Crying,,False,166466,61,0.35,-9.502,96.685,0.758,0.293,0.162,0.104,0.0258,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'rock-and-roll']",1962-01-01
Roy Orbison,Crying,,False,166466,61,0.35,-9.502,96.685,0.758,0.293,0.162,0.104,0.0258,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'rock-and-roll']",1962-01-01
Roy Orbison,Only the Lonely,,False,145533,63,0.57,-10.769,123.273,0.377,0.529,0.934,0.203,0.028,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'rock-and-roll']",1961
Roy Orbison,Only the Lonely,,False,145533,63,0.57,-10.769,123.273,0.377,0.529,0.934,0.203,0.028,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'rock-and-roll']",1961
The Kinks,Sunny Afternoon - Mono Mix,,False,210525,67,0.595,-8.412,124.991,0.102,0.465,0.492,0.0641,0.026,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock']",1966-10-28
The Kinks,Sunny Afternoon - Mono Mix,,False,210525,67,0.595,-8.412,124.991,0.102,0.465,0.492,0.0641,0.026,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock']",1966-10-28
The Kinks,You Really Got Me - Mono Mix,,False,134253,72,0.573,-6.441,137.382,0.493,0.939,0.963,0.0994,0.0808,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock']",1964-10-02
The Kinks,You Really Got Me - Mono Mix,,False,134253,72,0.573,-6.441,137.382,0.493,0.939,0.963,0.0994,0.0808,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock']",1964-10-02
The Kinks,Lola,,False,241040,70,0.474,-4.19,152.113,0.582,0.917,0.902,0.201,0.0395,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock']",1970-11-27
Bob Dylan,Like a Rolling Stone,,False,369600,75,0.483,-6.836,95.261,0.729,0.721,0.562,0.189,0.032,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold']",1965-08-30
Bob Dylan,Like a Rolling Stone,,False,369600,75,0.483,-6.836,95.261,0.729,0.721,0.562,0.189,0.032,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold']",1965-08-30
Bob Dylan,Knockin' On Heaven's Door,,False,149880,73,0.513,-13.061,140.208,0.251,0.396,0.229,0.11,0.0299,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold']",1973-07-13
Simon & Garfunkel,The Sound of Silence - Acoustic Version,,False,185413,75,0.525,-13.551,106.761,0.837,0.216,0.328,0.107,0.0301,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1964-10-19
Simon & Garfunkel,The Sound of Silence - Acoustic Version,,False,185413,75,0.525,-13.551,106.761,0.837,0.216,0.328,0.107,0.0301,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1964-10-19
Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",,False,244026,77,0.606,-14.035,92.033,0.713,0.457,0.813,0.0747,0.0497,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1968-04-03
Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",,False,244026,77,0.606,-14.035,92.033,0.713,0.457,0.813,0.0747,0.0497,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1968-04-03
Simon & Garfunkel,Cecilia,,False,174826,73,0.755,-8.867,102.762,0.357,0.876,0.954,0.22,0.0362,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1970-01-26
Simon & Garfunkel,The Boxer,,False,308520,72,0.439,-14.464,93.017,0.702,0.488,0.629,0.16,0.0615,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1970-01-26
Simon & Garfunkel,Bridge Over Troubled Water,,False,293120,72,0.149,-13.888,79.764,0.822,0.206,0.264,0.115,0.0323,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1970-01-26
Bee Gees,I Started A Joke,,False,188306,68,0.31,-8.755,144.775,0.156,0.464,0.431,0.132,0.0275,"['adult standards', 'disco', 'mellow gold', 'soft rock']",1968-08-11
Bee Gees,I Started A Joke,,False,188306,68,0.31,-8.755,144.775,0.156,0.464,0.431,0.132,0.0275,"['adult standards', 'disco', 'mellow gold', 'soft rock']",1968-08-11
Bee Gees,Stayin' Alive - Remastered Version,,False,285200,0,0.675,-6.124,103.683,0.0696,0.899,0.91,0.33,0.0418,"['adult standards', 'disco', 'mellow gold', 'soft rock']",2004-11-09
Bee Gees,How Deep Is Your Love,,False,245200,78,0.633,-9.366,104.938,0.105,0.357,0.674,0.133,0.0264,"['adult standards', 'disco', 'mellow gold', 'soft rock']",1979-01-01
Bee Gees,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",,False,197213,72,0.632,-6.434,105.955,0.163,0.683,0.701,0.847,0.0383,"['adult standards', 'disco', 'mellow gold', 'soft rock']",1979-01-01
Bee Gees,"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",,False,256493,69,0.681,-10.911,123.009,0.0182,0.716,0.963,0.337,0.0333,"['adult standards', 'disco', 'mellow gold', 'soft rock']",1976-01-01
Led Zeppelin,Good Times Bad Times - 1993 Remaster,,False,166266,70,0.476,-9.192,93.584,0.0382,0.717,0.753,0.0818,0.0949,"['album rock', 'classic rock', 'hard rock', 'rock']",1969-01-12
Led Zeppelin,Good Times Bad Times - 1993 Remaster,,False,166266,70,0.476,-9.192,93.584,0.0382,0.717,0.753,0.0818,0.0949,"['album rock', 'classic rock', 'hard rock', 'rock']",1969-01-12
